Issuer,Reference,Type,Link,Origin,Source,CoE MS,Year,Comments,Update,fundamental rights,human agency,human rights,non discrimination,non maleficence,rule of law,sustainable development,well being,accountability,autonomy,beneficence,democracy,dignity,diversity,explainability,fairness,freedom,inclusive,justice,liability,literacy,oversight,privacy,responsibility,robustness,safe,solidarity,sustainability,transparency,trust,trustworthy
Berkman Klein Center (University of Harvard),Principled Artificial Intelligence,Meta-analysis,https://ssrn.com/abstract=3518482,Academia,United States,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyberjustice Laboratory,ACT Project - Projet AJC (Autonomisation des acteurs judiciaires par la Cyberjustice),Research project,https://www.ajcact.org,Academia,Canada,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH Zurich,"AI, the global landscape of ethics guidelines",Meta-analysis,https://arxiv.org/ftp/arxiv/papers/1906/1906.11668.pdf,Academia,Switzerland,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH Zurich,A Moral Framework for Understanding of Fair ML through Economic Models of Equality of Opportunity,Academic paper,https://arxiv.org/abs/1809.03400,Academia,Switzerland,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraunhofer Institute for Intelligent Analysis and Information Systems IAIS,Trustworthy Use of Artificial Intelligence,Report/Study,https://www.iais.fraunhofer.de/content/dam/iais/KINRW/Whitepaper_Thrustworthy_AI.pdf,Academia,Germany,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handelsblatt Research Institute,Data Protection and Big Data - Datenschutz und Big Data,Report/Study,https://www.umweltdialog.de/de-wAssets/docs/2014-Dokumente-zu-Artikeln/leitfaden_unternehmen.pdf,Academia,Germany,Yes,2015,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute of Criminology at the Faculty of Law of Ljubljana,"Big Data: New Challenges for Law and Ethics, International scientific conference",Report/Study,https://big-data-ljubljana-2017.weebly.com/uploads/1/1/9/1/1191873/big-data-2017-print.pdf,Academia,Slovenia,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT,MIT Schwarzman College of Computing Task Force Working Group on Social Implications and Responsibilities of Computing Final Report,Report/Study,http://web.mit.edu/comptfreport/sirc.pdf,Academia,United States,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal AI Ethics Institute,The State of AI Ethics,Report/Study,https://montrealethics.ai/wp-content/uploads/2020/10/State-of-AI-Ethics-Oct-2020.pdf,Academia,Canada,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Academies of Science, Engineering & Medecine",Data Science Oath,Principles/Guidelines/Charters,https://www.nap.edu/read/24886/chapter/7#32,Academia,United States,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Oxford Internet Institute,Prolegomena to a White Paper on an Ethical Framework for a Good AI Society,Academic paper,https://www.researchgate.net/publication/329192820_AI4People-An_Ethical_Framework_for_a_Good_AI_Society_Opportunities_Risks_Principles_and_Recommendations,Academia,United Kingdom,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLOS Computational Biology,Ten simple rules for responsible Big Data research,Principles/Guidelines/Charters,https://journals.plos.org/ploscompbiol/article/related?id=10.1371/journal.pcbi.1005399,Academia,United States,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Polytechnic University of Turin,"Study on AI And Big Data: A Blueprint for a human rights, social and ethical impact assessment",Academic paper,https://doi.org/10.1016/j.clsr.2018.05.017,Academia,Italy,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Research Center for Brain-inspired Intelligence, Institute of Automation, Chinese Academy of Sciences",Linking artifical intelligence principles,Meta-analysis,http://www.linking-ai-principles.org/about,Academia,China,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
